#,New,Old,Radical,Strokes,Grade,Year added,English meaning,Readings
1,亜,亞,二,7,S,,sub-,アa
2,哀,,口,9,S,,pathetic,"アイ、あわ-れ、あわ-れむai, awa-re, awa-remu"
3,挨,,手,10,S,2010,push open,アイai
4,愛,,心,13,4,,love,アイai
5,曖,,日,17,S,2010,not clear,アイai
6,悪,惡,心,11,3,,bad,"アク、オ、わる-いaku, o, waru-i"
7,握,,手,12,S,,grip,"アク、にぎ-るaku, nigi-ru"
8,圧,壓,土,5,5,,pressure,アツatsu
9,扱,,手,6,S,,handle,あつか-うatsuka-u
10,宛,,宀,8,S,2010,allocate,あ-てるa-teru
11,嵐,,山,12,S,2010,storm,あらしarashi
12,安,,宀,6,3,,cheap,"アン、やす-いan, yasu-i"
13,案,,木,10,4,,plan,アンan
14,暗,,日,13,3,,dark,"アン、くら-いan, kura-i"
15,以,,人,5,4,,by means of,イi
16,衣,,衣,6,4,,clothes,"イ、ころもi, koromo"
17,位,,人,7,4,,rank,"イ、くらいi, kurai"
18,囲,圍,囗,7,4,,surround,"イ、かこ-む、かこ-うi, kako-mu, kako-u"
19,医,醫,酉,7,3,,medicine,イi
20,依,,人,8,S,,reliant,"イ、（エ）i, (e)"
21,委,,女,8,3,,committee,"イ、ゆだ-ねるi, yuda-neru"
22,威,,女,9,S,,intimidate,イi
23,為,爲,爪,9,S,,do,イi
24,畏,,田,9,S,2010,fear,"イ、おそ-れるi, oso-reru"
25,胃,,肉,9,4,,stomach,イi
26,尉,,寸,11,S,,military officer,イi
27,異,,田,11,6,,uncommon,"イ、ことi, koto"
28,移,,禾,11,5,,shift,"イ、うつ-る、うつ-すi, utsu-ru, utsu-su"
29,萎,,艸,11,S,2010,wither,"イ、な-えるi, na-eru"
30,偉,,人,12,S,,admirable,"イ、えら-いi, era-i"
31,椅,,木,12,S,2010,chair,イi
32,彙,,彐,13,S,2010,same kind,イi
33,意,,心,13,3,,idea,イi
34,違,,辵,13,S,,differ,"イ、ちが-う、ちが-えるi, chiga-u, chiga-eru"
35,維,,糸,14,S,,fiber,イi
36,慰,,心,15,S,,consolation,"イ、なぐさ-める、なぐさ-むi, nagusa-meru, nagusa-mu"
37,遺,,辵,15,6,,bequeath,"イ、（ユイ）i, (yui)"
38,緯,,糸,16,S,,horizontal,イi
39,域,,土,11,6,,range,イキiki
40,育,,肉,8,3,,nurture,"イク、そだ-つ、そだ-てる、はぐく-むiku, soda-tsu, soda-teru, haguku-mu"
41,一,,一,1,1,,one,"イチ、イツ、ひと、ひと-つichi, itsu, hito, hito-tsu"
42,壱,壹,士,7,S,,one (falsification prevention),イチichi
43,逸,逸 [4],辵,11,S,,deviate,イツitsu
44,茨 [5],,艸,9,S,2010,thorn,（いばら）[6](ibara)
45,芋,,艸,6,S,,potato,いもimo
46,引,,弓,4,2,,pull,"イン、ひ-く、ひ-けるin, hi-ku, hi-keru"
47,印,,卩,6,4,,mark,"イン、しるしin, shirushi"
48,因,,囗,6,5,,cause,"イン、よ-るin, yo-ru"
49,咽,,口,9,S,2010,throat,インin
50,姻,,女,9,S,,matrimony,インin
51,員,,口,10,3,,member,インin
52,院,,阜,10,3,,institution,インin
53,淫 [7],,水,11,S,2010,lewdness,"イン、みだ-らin, mida-ra"
54,陰,,阜,11,S,,shade,"イン、かげ、かげ-るin, kage, kage-ru"
55,飲,,食,12,3,,drink,"イン、の-むin, no-mu"
56,隠,隱,阜,14,S,,conceal,"イン、かく-す、かく-れるin, kaku-su, kaku-reru"
