id,"Comp. Word",Frequency,"Grammatical Feature",Pronunciation,"English Translation",Position,Kanji,KanjiID
8278,亜鉛,364,"general noun",aen,zinc,L,亜,1
13779,亜麻,78,"general noun",ama,flax,L,亜,1
14335,亜流,67,"general noun",aryuu,"bad second",L,亜,1
22853,亜聖,5,"general noun",asei,"sage of the second order",L,亜,1
24116,亜鈴,3,"general noun",arei,dumbbell,L,亜,1
24995,亜炭,2,"general noun",atan,lignite,L,亜,1
7423,興亜,478,"general noun",kooa,"Asia development",R,亜,1
13684,白亜,81,"general noun",hakua,chalk,R,亜,1
5690,哀悼,847,"light-verb -suru attached",aitoo,condolence,L,哀,2
7238,哀歌,507,"general noun",aika,lament,L,哀,2
8904,哀愁,302,"general noun",aisyuu,pathos,L,哀,2
10686,哀歓,180,"general noun",aikan,"joys and sorrows",L,哀,2
12497,哀切,111,"adjectival noun, na-adjective",aisetu,pathetic,L,哀,2
12700,哀感,105,"general noun",aikan,pathos,L,哀,2
15485,哀惜,49,"light-verb -suru attached",aiseki,grief,L,哀,2
16389,哀願,38,"light-verb -suru attached",aigan,supplication,L,哀,2
16686,哀調,35,"general noun",aityoo,plaintive,L,哀,2
19735,哀史,14,"general noun",aisi,"sad story",L,哀,2
20783,哀話,10,"general noun",aiwa,"sad story",L,哀,2
21468,哀傷,8,"general noun",aisyoo,sorrow,L,哀,2
23431,哀訴,4,"light-verb -suru attached",aiso,appeal,L,哀,2
24996,哀楽,2,"general noun",airaku,"grief and pleasure",L,哀,2
24997,哀憐,2,"general noun",airen,pity,L,哀,2
26147,哀詩,1,"general noun",aisi,elegy,L,哀,2
7246,悲哀,507,"general noun",hiai,sorrow,R,哀,2
8768,挨拶,315,"light-verb -suru attached",aisatu,greeting,L,挨,3
2907,愛情,2779,"general noun",aizyoo,love,L,愛,4
3422,愛称,2184,"general noun",aisyoo,"pet name",L,愛,4
3941,愛国,1695,"general noun",aikoku,country,L,愛,4
4095,愛好,1584,"light-verb -suru attached",aikoo,love,L,愛,4
5110,愛犬,1068,"general noun",aiken,"pet dog",L,愛,4
5251,愛用,1010,"light-verb -suru attached",aiyoo,favorite,L,愛,4
5402,愛着,949,"light-verb -suru attached",aityaku,attachment,L,愛,4
5509,愛読,911,"light-verb -suru attached",aidoku,"reading with pleasure",L,愛,4
5610,愛人,878,"general noun",aizin,lover,L,愛,4
6395,愛護,661,"light-verb -suru attached",aigo,protection,L,愛,4
8085,愛憎,385,"general noun",aizoo,"love and hate",L,愛,4
8855,愛想,306,"general noun",aiso,civility,L,愛,4
9553,愛車,247,"general noun",aisya,"beloved car",L,愛,4
9759,愛子,234,"general noun",itosigo,"beloved child",L,愛,4
10538,愛妻,188,"general noun",aisai,"beloved wife",L,愛,4
10958,愛娘,168,"general noun",manamusume,"one's beloved daughter",L,愛,4
11046,愛嬌,164,"general noun",aikyoo,charm,L,愛,4
11361,愛育,151,"light-verb -suru attached",aiiku,"tender nurture",L,愛,4
12435,愛唱,113,"light-verb -suru attached",aisyoo,"fondness for singing",L,愛,4
13196,愛馬,92,"general noun",aiba,"favourite horse",L,愛,4
13525,愛飲,84,"light-verb -suru attached",aiin,"usual drink",L,愛,4
13840,愛鳥,77,"general noun",aityoo,"pet bird",L,愛,4
14394,愛敬,66,"general noun",aikyoo,charm,L,愛,4
14670,愛玩,61,"light-verb -suru attached",aigan,"caring for",L,愛,4
14745,愛蔵,60,"light-verb -suru attached",aizoo,treasured,L,愛,4
14872,愛染,58,"general noun",aizen,"being drawn to something one loves",L,愛,4
15410,愛社,50,"general noun",aisya,"devotion to one's company",L,愛,4
15640,愛惜,47,"light-verb -suru attached",aiseki,"missing someone",L,愛,4
16390,愛欲,38,"general noun",aiyoku,passion,L,愛,4
16487,愛児,37,"general noun",aizi,"beloved child",L,愛,4
16488,愛息,37,"general noun",aisoku,"beloved son",L,愛,4
16986,愛郷,32,"general noun",aikyoo,"love for one's hometown",L,愛,4
16987,愛書,32,"general noun",aisyo,"great love of books",L,愛,4
17676,愛撫,26,"light-verb -suru attached",aibu,caress,L,愛,4
18434,愛顧,21,"light-verb -suru attached",aiko,patronage,L,愛,4
20485,愛妾,11,"general noun",aisyoo,"beloved concubine",L,愛,4
21876,愛誦,7,"light-verb -suru attached",aisyoo,"love of reading",L,愛,4
24998,愛嬢,2,"general noun",aizyoo,"one's beloved daughter",L,愛,4
26148,愛慕,1,"light-verb -suru attached",aibo,love,L,愛,4
26149,愛憐,1,"general noun",airen,sympathy,L,愛,4
2463,恋愛,3622,"light-verb -suru attached",renai,love,R,愛,4
6111,敬愛,732,"light-verb -suru attached",keiai,"respect and affection",R,愛,4
6499,友愛,639,"general noun",yuuai,fraternity,R,愛,4
7712,純愛,435,"general noun",zyunai,"pure love",R,愛,4
8685,最愛,323,"general noun",saiai,beloved,R,愛,4
9310,性愛,266,"general noun",seiai,"sexual love",R,愛,4
10026,情愛,218,"general noun",zyooai,affection,R,愛,4
11077,慈愛,163,"general noun",ziai,affection,R,愛,4
11897,博愛,131,"general noun",hakuai,charity,R,愛,4
12108,親愛,124,"adjectival noun, na-adjective",sinai,"deep affection",R,愛,4
12469,求愛,112,"light-verb -suru attached",kyuuai,courting,R,愛,4
13378,熱愛,88,"light-verb -suru attached",netuai,"love passionately",R,愛,4
13426,相愛,87,"light-verb -suru attached",sooai,"mutual love",R,愛,4
13904,溺愛,76,"light-verb -suru attached",dekiai,doting,R,愛,4
14326,偏愛,68,"light-verb -suru attached",henai,favoritism,R,愛,4
15109,汎愛,55,"general noun",hanai,philanthropy,R,愛,4
15127,割愛,54,"light-verb -suru attached",katuai,omitting,R,愛,4
15523,信愛,49,"light-verb -suru attached",sinai,"love and believe in",R,愛,4
15919,仁愛,44,"general noun",zinai,benevolence,R,愛,4
15964,遺愛,43,"general noun",iai,bequest,R,愛,4
16185,寵愛,41,"light-verb -suru attached",tyooai,favor,R,愛,4
16346,他愛,39,"adjective stem for -nai negation",taai,altruism,R,愛,4
18029,自愛,24,"light-verb -suru attached",ziai,"taking care of oneself",R,愛,4
19745,恩愛,14,"general noun",onnai,"kindness and affection",R,愛,4
10250,曖昧,205,"adjectival noun, na-adjective",aimai,vague,L,曖,5
523,悪化,21521,"light-verb -suru attached",akka,deterioration,L,悪,6
2175,悪質,4263,"adjectival noun, na-adjective",akusitu,"bad quality",L,悪,6
3308,悪用,2296,"light-verb -suru attached",akuyoo,abuse,L,悪,6
4535,悪手,1322,"general noun",akusyu,"poor move",L,悪,6
4659,悪夢,1261,"general noun",akumu,nightmare,L,悪,6
5011,悪魔,1108,"general noun",akuma,devil,L,悪,6
5925,悪口,782,"general noun",waruguti,abuse,L,悪,6
6601,悪意,614,"general noun",akui,"ill will",L,悪,6
6989,悪性,543,"general noun",akusei,malignancy,L,悪,6
7167,悪役,518,"general noun",akuyaku,villain,L,悪,6
7753,悪人,429,"general noun",akunin,"bad person",L,悪,6
7922,悪者,407,"general noun",warumono,"bad fellow",L,悪,6
8005,悪徳,395,"general noun",akutoku,vice,L,悪,6
8044,悪玉,390,"general noun",akudama,"bad character",L,悪,6
9120,悪臭,282,"general noun",akusyuu,stink,L,悪,6
9984,悪党,220,"general noun",akutoo,scoundrel,L,悪,6
10251,悪事,204,"general noun",akuzi,"evil deed",L,悪,6
11228,悪女,156,"general noun",akuzyo,"wicked or ugly woman",L,悪,6
11402,悪霊,149,"general noun",akuryoo,"evil spirit",L,悪,6
11559,悪名,143,"general noun",akumei,"bad reputation",L,悪,6
11910,悪性,130,"adjectival noun, na-adjective",akusyoo,"evil nature",L,悪,6
12436,悪弊,113,"general noun",akuhei,vice,L,悪,6
12541,悪評,110,"general noun",akuhyoo,"bad reputation",L,悪,6
12572,悪癖,109,"general noun",akuheki,"bad habit",L,悪,6
12701,悪態,105,"general noun",akutai,"abusive language",L,悪,6
13158,悪行,93,"general noun",akugyoo,misdeed,L,悪,6
13280,悪法,90,"general noun",akuhoo,"bad law",L,悪,6
13526,悪政,84,"general noun",akusei,misgovernment,L,悪,6
13617,悪気,82,"general noun",warugi,"ill will",L,悪,6
14815,悪習,59,"general noun",akusyuu,"bad habit",L,悪,6
15963,悪童,43,"general noun",akudoo,"bad boy",L,悪,6
16232,悪寒,40,"general noun",okan,chill,L,悪,6
16233,悪漢,40,"general noun",akkan,rascal,L,悪,6
16391,悪友,38,"general noun",akuyuu,"undesirable friend",L,悪,6
17435,悪業,28,"general noun",akugoo,"evil deed",L,悪,6
17436,悪妻,28,"general noun",akusai,"bad wife",L,悪,6
17555,悪例,27,"general noun",akurei,"bad example",L,悪,6
17809,悪形,25,"general noun",akugata,"villain's part",L,悪,6
17964,悪貨,24,"general noun",akka,"bad money",L,悪,6
17965,悪筆,24,"general noun",akuhitu,"poor handwriting",L,悪,6
18268,悪鬼,22,"general noun",akki,"evil spirit",L,悪,6
18269,悪戯,22,"light-verb -suru attached",itazura,mischief,L,悪,6
18567,悪文,20,"general noun",akubun,"bad style",L,悪,6
18568,悪辣,20,"adjectival noun, na-adjective",akuratu,crafty,L,悪,6
19109,悪心,17,"general noun",akusin,"evil thought",L,悪,6
20231,悪運,12,"general noun",akuun,"bad luck",L,悪,6
21097,悪逆,9,"general noun",akugyaku,atrocity,L,悪,6
21098,悪声,9,"general noun",akusei,"bad voice",L,悪,6
21469,悪書,8,"general noun",akusyo,"harmful book",L,悪,6
21470,悪銭,8,"general noun",akusen,"ill-gotten money",L,悪,6
21471,悪相,8,"general noun",akusoo,"evil countenance",L,悪,6
21472,悪病,8,"general noun",akubyoo,"bad health",L,悪,6
21877,悪食,7,"general noun",akuziki,"eating poor food",L,悪,6
21878,悪僧,7,"general noun",akusoo,"dissolute priest",L,悪,6
22341,悪風,6,"general noun",akuhuu,vice,L,悪,6
22855,悪疫,5,"general noun",akueki,epidemic,L,悪,6
22856,悪罵,5,"light-verb -suru attached",akuba,curse,L,悪,6
23433,悪所,4,"general noun",akusyo,"dangerous area",L,悪,6
24117,悪神,3,"general noun",akuzin,"evil god",L,悪,6
24118,悪日,3,"general noun",akubi,"unlucky day",L,悪,6
25000,悪縁,2,"general noun",akuen,"evil destiny or connection",L,悪,6
25001,悪感,2,"general noun",akkan,"ill feeling",L,悪,6
25002,悪戯,2,"adjectival noun, na-adjective",itazura,mischief,L,悪,6
25003,悪場,2,"general noun",waruba,"dangerous spot",L,悪,6
25004,悪念,2,"general noun",akunen,"evil thought",L,悪,6
26150,悪因,1,"general noun",akuin,"root of evil",L,悪,6
26151,悪疾,1,"general noun",akusitu,"malignant or virulent disease",L,悪,6
26152,悪戦,1,"general noun",akusen,"hard fighting",L,悪,6
26153,悪阻,1,"general noun",tuwari,"morning sickness",L,悪,6
1809,最悪,5639,"general noun",saiaku,"the worst",R,悪,6
4288,凶悪,1452,"adjectival noun, na-adjective",kyooaku,atrocious,R,悪,6
5560,憎悪,897,"light-verb -suru attached",zooo,hatred,R,悪,6
5900,嫌悪,788,"light-verb -suru attached",keno,disgust,R,悪,6
6192,最悪,709,"adjectival noun, na-adjective",saiaku,"the worst",R,悪,6
6564,善悪,622,"general noun",zenaku,"good and evil",R,悪,6
7613,劣悪,450,"adjectival noun, na-adjective",retuaku,inferiority,R,悪,6
7664,罪悪,441,"general noun",zaiaku,crime,R,悪,6
8420,凶悪,350,"general noun",kyooaku,atrocious,R,悪,6
8621,険悪,329,"adjectival noun, na-adjective",kenaku,dangerous,R,悪,6
8661,改悪,325,"light-verb -suru attached",kaiaku,deterioration,R,悪,6
10051,邪悪,216,"adjectival noun, na-adjective",zyaaku,wicked,R,悪,6
11890,粗悪,131,"adjectival noun, na-adjective",soaku,coarse,R,悪,6
13412,醜悪,87,"adjectival noun, na-adjective",syuuaku,ugliness,R,悪,6
13548,極悪,84,"adjectival noun, na-adjective",gokuaku,heinous,R,悪,6
13805,諸悪,78,"general noun",syoaku,"evil or crime",R,悪,6
14879,害悪,58,"general noun",gaiaku,harm,R,悪,6
15165,俗悪,54,"adjectival noun, na-adjective",zokuaku,worldliness,R,悪,6
15431,好悪,50,"general noun",kooo,"likes and dislikes",R,悪,6
17587,極悪,27,"general noun",gokuaku,heinous,R,悪,6
18643,性悪,20,"adjectival noun, na-adjective",syoowaru,ill-natured,R,悪,6
19299,露悪,17,"general noun",roaku,"boasting of one's faults",R,悪,6
19340,偽悪,16,"general noun",giaku,"pretense of evil",R,悪,6
19551,旧悪,15,"general noun",kyuuaku,"past misdeeds",R,悪,6
19566,険悪,15,"general noun",kenaku,dangerous,R,悪,6
20620,色悪,11,"general noun",iroaku,"handsome villain",R,悪,6
20771,劣悪,11,"general noun",retuaku,inferiority,R,悪,6
