id,Kanji,Strokes,Grade,"Kanji Classification",JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo","# of On","On within Joyo","Kanji ID in Nelson","# of Meanings of On","Translation of On","# of Kun within Joyo with inflections","# of Kun within Joyo without inflections","Kun within Joyo","# of Meanings of Kun","Translation of Kun","Year of Inclusion"
1,亜,7,7,"象形 Pictographic",1,Ni,ア,,1,a,81,5,"rank next, come after, Asia, sub-, -ous (in acids)",0,0,-,0,-,1981
2,哀,9,7,"会意 Com. Ideographic",1,"Kuchi, Kuchihen",アイ、あわ-れ、あわ-れむ,かな,1,ai,791,3,"pity, have mercy on, sympathize with",2,1,"awa(re), awa(remu)",8,"pity, have mercy on, sympathize with, grief, sorrow, misery; compassion, pathos",1981
3,挨,10,7,"形声 Phonetic",1,Tehen,アイ,,1,ai,2160,1,"push open",0,0,-,0,-,2010
4,愛,13,4,"会意 Com. Ideographic",2,"Kokoro, Risshinben, Shitagokoro",アイ,オ、いと、め,1,ai,1927,3,"love, affection, favorite",0,0,-,0,-,1981
5,曖,17,7,"形声 Phonetic",-,"Nichi, Nichihen",アイ,,1,ai,2521,2,"dark; not clear",0,0,-,0,-,2010
6,悪,11,3,"形声 Phonetic",3,"Kokoro, Risshinben, Shitagokoro",アク、オ、わる-い,,2,"aku, 	o",1873,5,"evil, wrong, vice, wickedness, lawlessness",1,1,waru(i),17,"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory",1981
7,握,12,7,"形声 Phonetic",1,Tehen,アク、にぎ-る,,1,aku,2232,6,"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)",1,1,nigi(ru),6,"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)",1981
8,圧,5,5,"会意 Com. Ideographic",2,"Tsuchi, Tsuchihen",アツ,おさ,1,atsu,970,4,"press, oppress, dominate, overwhelm",0,0,-,0,-,1981
9,扱,6,7,"形声 Phonetic",1,Tehen,あつか-う,,0,-,2070,0,-,1,1,atsuka(u),8,"treat; entertain; manage, deal with, conduct, work on; handle; manipulate",1981
10,宛,8,7,"会意 Com. Ideographic",1,Ukanmuri,あ-てる,エン,0,-,1319,0,-,1,1,a(teru),1,"address (a letter)",2010
11,嵐,12,7,"会意 Com. Ideographic",1,"Yama, Yamahen",あらし,ラン,0,-,1496,0,-,1,1,arashi,2,"storm, tempest",2010
12,安,6,3,"会意 Com. Ideographic",3,Ukanmuri,アン、やす-い,,1,an,1311,4,"be rested, feel at ease, be relieved, repose",1,1,yasu(i),6,"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless",1981
13,案,10,4,"形声 Phonetic",1,"Ki, Kihen",アン,,1,an,2667,10,"proposition, suggestion, plan, idea; opinion; expectation; bill, draft, measure; table",0,0,-,0,-,1981
14,暗,13,3,"形声 Phonetic",2,"Nichi, Nichihen",アン、くら-い,,1,an,2503,1,dark,1,1,kura(i),6,"dark, gloomy, somber; dim, faint; ignorant ",1981
15,以,5,4,"象形 Pictographic",3,"Hito, Ninben, Hitoyane",イ,もち、ゆえ、も,1,i,109,5,"with, by, by means of; because; in view of",0,0,-,0,-,1981
16,衣,6,4,"象形 Pictographic",2,"Koromo, Koromohen",イ、ころも,エ、きぬ、き、ぎぬ、ぎ,1,i,5420,1,garment,1,1,koromo,5,"clothes, robe; dressing; frosting; coating",1981
17,位,7,4,"会意 Com. Ideographic",2,"Hito, Ninben, Hitoyane",イ、くらい,,1,i,162,3,"rank, place, grade",1,1,kurai,8,"grade, rank; court order, dignity, nobility; situation; throne, crown",1981
18,囲,7,4,"形声 Phonetic",2,Kunigamae,イ、かこ-む、かこ-う,,1,i,945,1,enclosure,2,1,"kako(mu), kako(u)",7,"enclose, surround, encircle; besiege; preserve, store; keep",1981
19,医,7,3,"会意 Com. Ideographic",3,Kakushigamae,イ,,1,i,590,3,"medicine, the healing art; doctor",0,0,-,0,-,1981
20,依,8,7,"会意 Com. Ideographic",2,"Hito, Ninben, Hitoyane",イ、[エ],よ,2,"i, [e	]",191,1,"depend on",0,0,-,0,-,1981
21,委,8,3,"会意 Com. Ideographic",2,"Onna, Onnahen",イ、ゆだ-ねる,まか,1,i,1204,2,"entrust to, discard",1,1,yuda(neru),2,"entrust to, devote (oneself) to",1981
22,威,9,7,"会意 Com. Ideographic",1,"Onna, Onnahen",イ,おど、たけ,1,i,1219,3,"dignity, majesty, authority",0,0,-,0,-,1981
23,為,9,7,"会意 Com. Ideographic",1,"Hi, Hihen, Renga",イ,ため、な,1,i,3411,3,"change; be of use; reach to",0,0,-,0,-,1981
